date,Month,Day,Day-of-Year,meantemp,humidity,wind_speed,meanpressure,sinDOY,cosDOY
2017,1,1,1,15.91304348,85.86956522,2.743478261,59,0.017213342,0.999851839
2017,1,2,2,18.5,77.22222222,2.894444444,1018.277778,0.034421583,0.999407402
2017,1,3,3,17.11111111,81.88888889,4.016666667,1018.333333,0.051619624,0.998666819
2017,1,4,4,18.7,70.05,4.545,1015.7,0.068802369,0.997630309
2017,1,5,5,18.38888889,74.94444444,3.3,1014.333333,0.085964726,0.996298181
2017,1,6,6,19.31818182,79.31818182,8.681818182,1011.772727,0.103101611,0.994670829
2017,1,7,7,14.70833333,95.83333333,10.04166667,1011.375,0.120207944,0.992748735
2017,1,8,8,15.68421053,83.52631579,1.95,1015.55,0.137278657,0.990532468
2017,1,9,9,14.57142857,80.80952381,6.542857143,1015.952381,0.154308691,0.988022686
2017,1,10,10,12.11111111,71.94444444,9.361111111,1016.888889,0.171293001,0.985220132
2017,1,11,11,11,72.11111111,9.772222222,1016.777778,0.188226553,0.982125636
2017,1,12,12,11.78947368,74.57894737,6.626315789,1016.368421,0.205104329,0.978740116
2017,1,13,13,13.23529412,67.05882353,6.435294118,1017.529412,0.221921329,0.975064574
2017,1,14,14,13.2,74.28,5.276,1018.84,0.238672568,0.9711001
2017,1,15,15,16.43478261,72.56521739,3.630434783,1018.130435,0.255353084,0.966847869
2017,1,16,16,14.65,78.45,10.38,1017.15,0.271957934,0.962309141
2017,1,17,17,11.72222222,84.44444444,8.038888889,1018.388889,0.288482196,0.95748526
2017,1,18,18,13.04166667,78.33333333,6.029166667,1021.958333,0.304920975,0.952377656
2017,1,19,19,14.61904762,75.14285714,10.33809524,1022.809524,0.3212694,0.946987842
2017,1,20,20,15.26315789,66.47368421,11.22631579,1021.789474,0.337522626,0.941317416
2017,1,21,21,15.39130435,70.86956522,13.69565217,1020.478261,0.353675837,0.935368057
2017,1,22,22,18.44,76.24,5.868,1021.04,0.369724246,0.92914153
2017,1,23,23,18.11764706,76,6.752941176,1019.823529,0.385663098,0.922639678
2017,1,24,24,18.34782609,68.13043478,3.391304348,1018.869565,0.40148767,0.915864428
2017,1,25,25,21,69.96,8.756,1018.4,0.417193272,0.908817789
2017,1,26,26,16.17857143,91.64285714,8.467857143,1017.785714,0.432775252,0.901501848
2017,1,27,27,16.5,77.04166667,14.35833333,1018.125,0.448228991,0.893918772
2017,1,28,28,14.86363636,82.77272727,9.690909091,1019.636364,0.46354991,0.88607081
