year,month,day,DOY,meantemp,humidity,wind_speed,meanpressure,sinDoy,cosDoy
2013,1,1,1,10,84.5,0,1015.666667,0.017213356,0.999851839
2013,1,2,2,7.4,92,2.98,1017.8,0.034421612,0.999407401
2013,1,3,3,7.166666667,87,4.633333333,1018.666667,0.051619667,0.998666816
2013,1,4,4,8.666666667,71.33333333,1.233333333,1017.166667,0.068802427,0.997630305
2013,1,5,5,6,86.83333333,3.7,1016.5,0.085964799,0.996298175
2013,1,6,6,7,82.8,1.48,1018,0.103101697,0.99467082
2013,1,7,7,7,78.6,6.3,1020,0.120208045,0.992748722
2013,1,8,8,8.857142857,63.71428571,7.142857143,1018.714286,0.137278772,0.990532452
2013,1,9,9,14,51.25,12.5,1017,0.154308821,0.988022666
2013,1,10,10,11,62,7.4,1015.666667,0.171293144,0.985220107
2013,1,11,11,15.71428571,51.28571429,10.57142857,1016.142857,0.18822671,0.982125606
2013,1,12,12,14,74,13.22857143,1015.571429,0.2051045,0.97874008
2013,1,13,13,15.83333333,75.16666667,4.633333333,1013.333333,0.221921513,0.975064532
2013,1,14,14,12.83333333,88.16666667,0.616666667,1015.166667,0.238672766,0.971100052
2013,1,15,15,14.71428571,71.85714286,0.528571429,1015.857143,0.255353295,0.966847814
2013,1,16,16,13.83333333,86.66666667,0,1016.666667,0.271958158,0.962309077
2013,1,17,17,16.5,80.83333333,5.25,1015.833333,0.288482433,0.957485188
2013,1,18,18,13.83333333,92.16666667,8.95,1014.5,0.304921225,0.952377576
2013,1,19,19,12.5,76.66666667,5.883333333,1021.666667,0.321269662,0.946987753
2013,1,20,20,11.28571429,75.28571429,8.471428571,1020.285714,0.3375229,0.941317318
2013,1,21,21,11.2,77,2.22,1021,0.353676122,0.935367949
2013,1,22,22,9.5,79.66666667,3.083333333,1021.8,0.369724543,0.929141411
2013,1,23,23,14,60.16666667,4.016666667,1020.5,0.385663406,0.922639549
2013,1,24,24,13.83333333,60.66666667,6.166666667,1020.5,0.401487989,0.915864288
2013,1,25,25,12.25,67,5.55,1020.75,0.417193603,0.908817637
2013,1,26,26,12.66666667,64.16666667,6.8,1019.666667,0.432775593,0.901501684
2013,1,27,27,12.85714286,65.57142857,5.557142857,1018.142857,0.448229342,0.893918597
2013,1,28,28,14.83333333,56,3.7,1017.833333,0.463550271,0.886070622
2013,1,29,29,14.125,65.5,3.2375,1016.625,0.47873384,0.877960085
2013,1,30,30,14.71428571,70.42857143,1.057142857,1017.857143,0.49377555,0.869589389
2013,1,31,31,16.2,65.6,2.96,1018.4,0.508670944,0.860961016
2013,2,1,32,16,73,2.22,1016,0.523415607,0.852077521
2013,2,2,33,16.28571429,77.57142857,1.328571429,1017.142857,0.538005172,0.842941537
2013,2,3,34,18,65.57142857,1.857142857,1015.285714,0.552435313,0.833555772
2013,2,4,35,17.42857143,74.28571429,11.11428571,1014.571429,0.566701756,0.823923006
2013,2,5,36,16.625,92.375,9.725,1016.375,0.580800273,0.814046094
2013,2,6,37,16.66666667,71.33333333,8.633333333,1018.666667,0.594726687,0.803927962
2013,2,7,38,15.6,59.4,10.74,1018.6,0.60847687,0.793571609
2013,2,8,39,14,70.42857143,9.257142857,1017.142857,0.622046748,0.782980104
2013,2,9,40,15.42857143,61.28571429,9.257142857,1016.857143,0.635432301,0.772156585
2013,2,10,41,15.25,71.5,3.475,1017.125,0.648629561,0.761104259
2013,2,11,42,15.875,70.5,5.325,1016.5,0.661634618,0.749826401
2013,2,12,43,15.33333333,70.33333333,7.416666667,1017.5,0.674443619,0.738326354
2013,2,13,44,16.28571429,70.14285714,6.085714286,1016,0.687052767,0.726607525
2013,2,14,45,17.33333333,63.83333333,4.333333333,1014.166667,0.699458327,0.714673386
2013,2,15,46,19.16666667,65.33333333,10.18333333,1011.666667,0.711656622,0.702527474
2013,2,16,47,14.42857143,92.71428571,8.485714286,1008,0.723644038,0.690173388
2013,2,17,48,13.66666667,90,0,1012.666667,0.735417023,0.677614789
2013,2,18,49,15.6,78.4,12.22,1016.2,0.746972088,0.664855398
2013,2,19,50,15.85714286,82,5.814285714,1015.714286,0.758305808,0.651898996
2013,2,20,51,17.71428571,74.71428571,5.814285714,1017,0.769414827,0.638749422
2013,2,21,52,20,67.28571429,6.614285714,1015.428571,0.780295851,0.625410573
2013,2,22,53,20.5,65.625,10.875,1016,0.790945657,0.611886401
2013,2,23,54,17.42857143,74.85714286,9.257142857,1017,0.801361088,0.598180914
2013,2,24,55,16.85714286,78.85714286,7.4,1018.857143,0.811539059,0.584298174
2013,2,25,56,16.875,72.875,4.6375,1018.25,0.821476553,0.570242293
2013,2,26,57,17.85714286,70,17.5875,1015.142857,0.831170626,0.556017437
2013,2,27,58,20.8,57.2,6.66,1015.2,0.840618406,0.541627821
2013,2,28,59,19.42857143,52.85714286,12.95714286,1017.428571,0.849817092,0.527077709
2013,3,1,60,17.33333333,49.33333333,24.06666667,1016.333333,0.858763958,0.512371412
2013,3,2,61,19,54,15.725,1016.25,0.867456355,0.497513289
2013,3,3,62,19.33333333,62.83333333,8.633333333,1016.166667,0.875891705,0.482507742
2013,3,4,63,17.6,71,5.56,1015.8,0.88406751,0.467359217
2013,3,5,64,20.875,61.875,4.1625,1016.375,0.891981346,0.452072204
2013,3,6,65,20.85714286,65.28571429,6.871428571,1015.714286,0.89963087,0.436651232
2013,3,7,66,23.42857143,57.14285714,8.728571429,1015.285714,0.907013813,0.421100871
2013,3,8,67,24.16666667,44.83333333,7.1,1014.833333,0.914127988,0.405425728
2013,3,9,68,25.42857143,49.71428571,5.285714286,1009.285714,0.920971288,0.38963045
2013,3,10,69,23.14285714,57.57142857,4.228571429,1008,0.927541684,0.373719715
2013,3,11,70,24,66.33333333,0.933333333,1011.166667,0.933837229,0.357698239
2013,3,12,71,23.5,62.5,4.933333333,1011.5,0.939856058,0.341570769
2013,3,13,72,21.5,70.5,5.55,1009,0.945596387,0.325342085
2013,3,14,73,22.33333333,61.16666667,12.03333333,1013.166667,0.951056516,0.309016994
2013,3,15,74,24.16666667,45.83333333,7.716666667,1016.166667,0.956234827,0.292600336
2013,3,16,75,20.33333333,67.66666667,3.7,1016.166667,0.961129784,0.276096973
2013,3,17,76,22.66666667,58.66666667,8.95,1015,0.965739938,0.259511797
2013,3,18,77,23.42857143,58.14285714,17.45714286,1009.428571,0.970063922,0.242849722
2013,3,19,78,22.5,73.66666667,10.48333333,1011,0.974100455,0.226115686
2013,3,20,79,29.16666667,36.33333333,6.8,1009.5,0.977848341,0.209314646
2013,3,21,80,23.83333333,58.5,10.5,1008.333333,0.98130647,0.192451582
2013,3,22,81,25.25,50.25,9.7125,1006.375,0.984473817,0.17553149
2013,3,23,82,27.375,50.125,9.95,1007.625,0.987349442,0.158559385
2013,3,24,83,27,48.75,10.8875,1010.25,0.989932495,0.141540295
2013,3,25,84,23.5,45.5,15.9625,1010.625,0.992222209,0.124479264
2013,3,26,85,24.14285714,44.57142857,12.95714286,1008.857143,0.994217907,0.107381347
2013,3,27,86,21,62,1.85,1009,0.995918996,0.09025161
2013,3,28,87,22.42857143,62.71428571,7.414285714,1009.571429,0.997324973,0.07309513
2013,3,29,88,21.25,70.375,5.55,1009.75,0.998435421,0.05591699
2013,3,30,89,23.5,54.75,11.1125,1008.625,0.999250011,0.038722281
2013,3,31,90,23.2,58,6.66,1008.6,0.999768502,0.021516097
2013,4,1,91,25.375,45.5,4.4,1008.5,0.99999074,0.004303538
2013,4,2,92,25.16666667,51,8.65,1009.5,0.999916659,-0.012910296
2013,4,3,93,26.2,45.6,8.14,1009,0.999546281,-0.030120305
2013,4,4,94,24.6,41.8,11.12,1007.8,0.998879716,-0.047321388
2013,4,5,95,25.6,31,15.56,1007,0.997917161,-0.064508449
2013,4,6,96,25.85714286,29.85714286,11.9,1006.142857,0.996658902,-0.081676395
2013,4,7,97,29.14285714,23.28571429,10.31428571,1005,0.995105311,-0.098820139
2013,4,8,98,28.71428571,33.85714286,5.3,1006,0.993256849,-0.1159346
2013,4,9,99,30.16666667,30.5,8.65,1005.333333,0.991114064,-0.133014706
2013,4,10,100,30,28,6.1,1006.714286,0.98867759,-0.150055398
2013,4,11,101,30,24.2,7.78,1006.4,0.98594815,-0.167051625
2013,4,12,102,28.85714286,32.57142857,6.342857143,1007.571429,0.982926552,-0.183998352
2013,4,13,103,30.2,29.2,10,1008.4,0.979613692,-0.200890555
2013,4,14,104,28.25,39.375,6.4875,1007,0.976010551,-0.21772323
2013,4,15,105,28.25,41.375,6.25,1003.875,0.972118197,-0.23449139
2013,4,16,106,32.125,24.625,10.425,1000,0.967937783,-0.251190064
2013,4,17,107,29.2,24.2,6.66,1002.2,0.963470549,-0.267814305
2013,4,18,108,30.28571429,30.28571429,4.757142857,1002.857143,0.958717817,-0.284359187
2013,4,19,109,28.28571429,31.28571429,3.971428571,1002.571429,0.953680997,-0.300819808
2013,4,20,110,30.625,29,7.6375,1003.375,0.94836158,-0.317191289
2013,4,21,111,27.66666667,38.66666667,13.88333333,1006.833333,0.942761143,-0.333468779
2013,4,22,112,27.375,45.375,7.65,1010,0.936881346,-0.349647455
2013,4,23,113,28.625,44.125,4.625,1009.875,0.930723931,-0.365722523
2013,4,24,114,30.28571429,41.71428571,2.114285714,1008.571429,0.924290722,-0.38168922
2013,4,25,115,31.14285714,38.28571429,3.7,1007.714286,0.917583626,-0.397542814
2013,4,26,116,29.875,45.875,6.7125,1008.375,0.91060463,-0.413278608
2013,4,27,117,31.14285714,31.42857143,13.48571429,1007,0.903355802,-0.428891938
2013,4,28,118,30.57142857,28,12.97142857,1005.428571,0.895839291,-0.444378178
2013,4,29,119,32.125,26.375,7.875,1004.875,0.888057323,-0.459732739
2013,4,30,120,31.14285714,32,7.928571429,1004.857143,0.880012204,-0.474951072
2013,5,1,121,31.85714286,15.85714286,12.68571429,1002.833333,0.871706319,-0.490028666
2013,5,2,122,29.83333333,22.16666667,11.43333333,1001.2,0.863142128,-0.504961055
2013,5,3,123,28.57142857,31.57142857,9,999.4285714,0.85432217,-0.519743812
